mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
raw,micro_f1,0.979000,0.006200,0.974565,0.983435,10
raw,macro_f1,0.978999,0.006201,0.974562,0.983435,10
raw,f1_weighted,0.978999,0.006201,0.974562,0.983435,10
raw,accuracy,0.979000,0.006200,0.974565,0.983435,10
raw,hard_slice_macro_f1,0.863240,0.060199,0.820176,0.906304,10
raw,avg_seq_len,126.551580,0.663426,126.076994,127.026166,10
raw,compute_proxy,96432.304148,505.530359,96070.669515,96793.938782,10
raw,best_val_macro_f1,0.983554,0.006304,0.979045,0.988064,10
raw,steps_to_best_val,495.300000,211.242909,344.185926,646.414074,10
is,micro_f1,0.976800,0.004638,0.973482,0.980118,10
is,macro_f1,0.976798,0.004640,0.973479,0.980117,10
is,f1_weighted,0.976798,0.004640,0.973479,0.980117,10
is,accuracy,0.976800,0.004638,0.973482,0.980118,10
is,hard_slice_macro_f1,0.842300,0.050590,0.806110,0.878489,10
is,avg_seq_len,126.860131,1.222063,125.985920,127.734342,10
is,compute_proxy,66220.988527,637.916664,65764.650436,66677.326618,10
is,best_val_macro_f1,0.981110,0.005949,0.976854,0.985366,10
is,steps_to_best_val,339.300000,86.515317,277.410671,401.189329,10
cl,micro_f1,0.980200,0.005203,0.976478,0.983922,10
cl,macro_f1,0.980199,0.005205,0.976475,0.983922,10
cl,f1_weighted,0.980199,0.005205,0.976475,0.983922,10
cl,accuracy,0.980200,0.005203,0.976478,0.983922,10
cl,hard_slice_macro_f1,0.860984,0.049559,0.825532,0.896437,10
cl,avg_seq_len,127.691271,0.837008,127.092511,128.290030,10
cl,compute_proxy,60014.897224,393.393930,59733.480159,60296.314288,10
cl,best_val_macro_f1,0.979554,0.004420,0.976392,0.982716,10
cl,steps_to_best_val,409.500000,63.772599,363.879831,455.120169,10
is_cl,micro_f1,0.979000,0.005185,0.975291,0.982709,10
is_cl,macro_f1,0.978999,0.005187,0.975288,0.982709,10
is_cl,f1_weighted,0.978999,0.005187,0.975288,0.982709,10
is_cl,accuracy,0.979000,0.005185,0.975291,0.982709,10
is_cl,hard_slice_macro_f1,0.840004,0.062209,0.795502,0.884506,10
is_cl,avg_seq_len,128.205620,1.334654,127.250866,129.160374,10
is_cl,compute_proxy,41795.032050,435.097353,41483.782154,42106.281947,10
is_cl,best_val_macro_f1,0.978443,0.007412,0.973140,0.983745,10
is_cl,steps_to_best_val,309.400000,34.995873,284.365461,334.434539,10
b1,micro_f1,0.980000,0.005249,0.976245,0.983755,10
b1,macro_f1,0.979999,0.005250,0.976244,0.983755,10
b1,f1_weighted,0.979999,0.005250,0.976244,0.983755,10
b1,accuracy,0.980000,0.005249,0.976245,0.983755,10
b1,hard_slice_macro_f1,0.866479,0.045591,0.833865,0.899092,10
b1,avg_seq_len,127.507693,0.813128,126.926017,128.089370,10
b1,compute_proxy,61458.708174,391.927659,61178.340017,61739.076331,10
b1,best_val_macro_f1,0.978222,0.007243,0.973040,0.983403,10
b1,steps_to_best_val,456.600000,53.547902,418.294139,494.905861,10
