mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
raw,micro_f1,0.802153,0.007767,0.796597,0.807709,10
raw,macro_f1,0.763946,0.016271,0.752307,0.775586,10
raw,f1_weighted,0.802543,0.007795,0.796967,0.808119,10
raw,accuracy,0.802153,0.007767,0.796597,0.807709,10
raw,hard_slice_macro_f1,0.426522,0.051992,0.389329,0.463714,10
raw,avg_seq_len,219.592810,0.109779,219.514279,219.671342,10
raw,compute_proxy,611346.384378,305.624352,611127.753888,611565.014869,10
raw,best_val_macro_f1,0.762850,0.016711,0.750895,0.774804,10
raw,steps_to_best_val,2691.200000,195.639578,2551.247877,2831.152123,10
is,micro_f1,0.780844,0.007837,0.775238,0.786450,10
is,macro_f1,0.740378,0.012160,0.731679,0.749077,10
is,f1_weighted,0.780205,0.008181,0.774353,0.786057,10
is,accuracy,0.780844,0.007837,0.775238,0.786450,10
is,hard_slice_macro_f1,0.403120,0.034931,0.378132,0.428108,10
is,avg_seq_len,216.881599,0.331639,216.644358,217.118839,10
is,compute_proxy,385442.284455,954.968504,384759.141140,386125.427770,10
is,best_val_macro_f1,0.738002,0.015038,0.727244,0.748759,10
is,steps_to_best_val,1747.500000,92.252371,1681.506629,1813.493371,10
cl,micro_f1,0.753525,0.007508,0.748155,0.758896,10
cl,macro_f1,0.695355,0.007135,0.690251,0.700460,10
cl,f1_weighted,0.752897,0.007858,0.747275,0.758518,10
cl,accuracy,0.753525,0.007508,0.748155,0.758896,10
cl,hard_slice_macro_f1,0.364990,0.031015,0.342803,0.387177,10
cl,avg_seq_len,224.041036,0.179668,223.912509,224.169562,10
cl,compute_proxy,384454.417295,308.310194,384233.865468,384674.969121,10
cl,best_val_macro_f1,0.685411,0.017719,0.672735,0.698086,10
cl,steps_to_best_val,1716.000000,0.000000,1716.000000,1716.000000,10
is_cl,micro_f1,0.727845,0.007927,0.722175,0.733515,10
is_cl,macro_f1,0.666174,0.009991,0.659027,0.673321,10
is_cl,f1_weighted,0.720281,0.008804,0.713983,0.726579,10
is_cl,accuracy,0.727845,0.007927,0.722175,0.733515,10
is_cl,hard_slice_macro_f1,0.352065,0.031900,0.329245,0.374885,10
is_cl,avg_seq_len,221.384745,0.417491,221.086090,221.683400,10
is_cl,compute_proxy,242991.953904,525.414663,242616.094896,243367.812911,10
is_cl,best_val_macro_f1,0.664661,0.022427,0.648618,0.680704,10
is_cl,steps_to_best_val,1097.600000,0.843274,1096.996758,1098.203242,10
b1,micro_f1,0.758497,0.005560,0.754520,0.762474,10
b1,macro_f1,0.700592,0.008198,0.694727,0.706457,10
b1,f1_weighted,0.757849,0.005382,0.753999,0.761699,10
b1,accuracy,0.758497,0.005560,0.754520,0.762474,10
b1,hard_slice_macro_f1,0.359883,0.025795,0.341430,0.378335,10
b1,avg_seq_len,222.547550,0.169853,222.426044,222.669056,10
b1,compute_proxy,392128.782962,299.281236,391914.690063,392342.875861,10
b1,best_val_macro_f1,0.700850,0.016108,0.689327,0.712373,10
b1,steps_to_best_val,1762.000000,0.000000,1762.000000,1762.000000,10
